review,ac,air_panas,bau,general,kebersihan,linen,service,sunrise_meal,tv,wifi
kebersihan kurang...,neut,neut,neut,neut,neg,neut,neut,neut,neut,neut
"sangat mengecewakan... hotel bad image, kebersihan kurang, berisik",neut,neut,neut,neut,neg,neut,neut,neut,neut,neut
Tempat nyaman bersih tapi tv terlalu tinggi tidak bisa di lihat ,neut,neut,neut,neut,pos,neut,neut,neut,neg,neut
"semuanya bagus sesuai profile,dan harga promo untuk suite nya jg sangat murah..komplain cuma water heater yg kamar saya tidak keluar dan air keluar kecil",neut,neg,neut,pos,neut,neut,neut,neut,neut,neut
"Tempat tidur sangat keras, bantal besar dan keras, air panas tidak berfungsi, AC kurang dingin biasanya setiap saya menginap di hotel/kost/penginapan yang bekerja sama dgn Airy Room selalu dapat snack & peralatan mandi, tapi kali ini tidak 1 pun yang saya dapatkan ",neg,neg,neut,neut,neut,neg,neut,neut,neut,neut
selimut dan handuk ada kerak kotor.,neut,neut,neut,neut,neut,neg,neut,neut,neut,neut
"Kamar mandi perlu ditingkatkan lagi, showernya kurang nyala",neut,neut,neut,neut,neg,neut,neut,neut,neut,neut
Pelayanan minta sarapan lebih pagi tdk bisa kami lakukan karena syaratnya harus jam 7 pagi baru ters,neut,neut,neut,neut,neut,neut,neg,neut,neut,neut
Kamar tidak sesuai dengan gambar...kurang bersih kasurnya tidak empuk...,neut,neut,neut,neut,neg,neg,neut,neut,neut,neut
"AC tidak dingin, kunci kamar tidak bisa dipakai karena kehabisan tap card sehingga tiap keluar masuk kamar harus panggil petugas, kamar byk ngengat kecil yg bikin gatal.",neg,neut,neut,neut,neut,neut,neut,neut,neut,neut
"ga banget,kamarnya banyak sawang bedebu,lamou kamar mandi mmati,kamar mandi ga bersih parah deh",neut,neut,neut,neut,neg,neut,neut,neut,neut,neut
cukup oke pelayanannya......cuma handuknya kurang bersih. terima kasih,neut,neut,neut,neut,neut,neg,pos,neut,neut,neut
"Cukup bersih, tetapi masih ada beberapa bagian yg belum.",neut,neut,neut,neut,neg,neut,neut,neut,neut,neut
"Kebersihan kamar lebih ditingkatkan ya, di sekitar kusen jendela kotor banget. Seperti tidak pernah ",neut,neut,neut,neut,neg,neut,neut,neut,neut,neut
"Pintu toilet rusak, kaca jendela rusak, TV tidak layak, handuk kecil dan usang. seprei usang. air WC",neut,neut,neut,neut,neut,neg,neut,neut,neg,neut
"hotelnya bersih dan nyaman, tp keyika masuk kamar sangat bau bekas asap rokok",neut,neut,neg,neut,pos,neut,neut,neut,neut,neut
"ruangan kurang bersih, ada puntung rokok di dalam kamar, plastik shower di ksmar mandi mulai menghitam, conplimentary item expired ",neut,neut,neut,neut,neg,neg,neut,neut,neut,neut
Pelayanan kurang ramah,neut,neut,neut,neut,neut,neut,neg,neut,neut,neut
tv nya bermasalah,neut,neut,neut,neut,neut,neut,neut,neut,neg,neut
"Tempatnya si strategis, bnyak yg jual makanan di sekitarnya. Tapi Kamarnya sempit, kamar mandi bau, kran air berkarat semua, air tidak lancar, ada hewan2 di kamar mandi (kecoak, kelabang (meskipun sudah mati)). Jadi kecewa, tidak memuaskan",neut,neut,neg,neut,neg,neut,neut,neut,neut,neut
"Jangan menginap disini deh.. Mending cari hotel lain.. Kelas deluxe tapi kayak ekonomi SEMPIT SEKALI, WC BAU, COLOKKAN LISTRIK TIDAK ADA. MAU CHARGER HP GAK BISA. NGHABISKAN DUIT AJA...SANGAT KECEWA",neut,neut,neg,neut,neut,neut,neut,neut,neut,neut
"tambahi guling, water heater mati, tapi dikasih kue makasih",neut,neg,neut,neut,neut,neut,neut,neut,neut,neut
murah dan nyaman tp toilet agak sedikit kotor.,neut,neut,neut,neut,neg,neut,neut,neut,neut,neut
AC nya Panas gak berfungsi. Offer all sih ya oke lah.,neg,neut,neut,pos,neut,neut,neut,neut,neut,neut
tvnya mati2,neut,neut,neut,neut,neut,neut,neut,neut,neg,neut
Untuk nginap yg kemaren tempat tidur kurang bersih.. 🙏🏻,neut,neut,neut,neut,neg,neut,neut,neut,neut,neut
kamar mandi kurang bersih,neut,neut,neut,neut,neg,neut,neut,neut,neut,neut
kamar kotor... tidak ada perlengkapan snack dan mandi dari airy,neut,neut,neut,neut,neg,neg,neut,neut,neut,neut
wifi tidak sampai kamar,neut,neut,neut,neut,neut,neut,neut,neut,neut,neg
AC kurang dingin ,neg,neut,neut,neut,neut,neut,neut,neut,neut,neut
"Pelayanan ramah, namun air panas shower perlu diperbaiki",neut,neg,neut,neut,neut,neut,pos,neut,neut,neut
Tidak ada sabun maupun snack dari airy room,neut,neut,neut,neut,neut,neg,neut,neut,neut,neut
"lumayan, tp kamar mandinya kurang bersih & bau.",neut,neut,neg,neut,neg,neut,neut,neut,neut,neut
"cukup baik. kekurangan tamu tidak di antar ke kamar. satpam sangat ramah, saluran tv jernih, sarapan pagi enak, selimut tebel. pokoknya rekomen bgt lah",neut,neut,neut,neut,neut,neg,neut,pos,pos,neut
"shower rusak, penempatan gantungan baju di kamar mandi sebaiknya jgn di samping wc, selimut byk bekas noda. selebihnya oke lah.",neut,neut,neut,neut,neut,neg,neut,neut,neut,neut
AC nya parah. Berisik bersurara. Bikin gak bisa tidur sama sekali. Lokasi nya susah minta ampun ditemukan.,neg,neut,neut,neut,neut,neut,neut,neut,neut,neut
Tidak diberikan snack & perlengkapan di kamar mandi.,neut,neut,neut,neut,neut,neg,neut,neut,neut,neut
kamar sesuai foto..bagus nyaman tapi sayang shower mandi nya ga bisa pake air dingin terlalu panas mungkin rusak selebih nya sangat bagus sip deh,neut,neg,neut,pos,neut,neut,neut,neut,neut,neut
"Lantai dan tempat tidur kurang bersih, akses agak sulit, lainnya sudah sangat baik.",neut,neut,neut,pos,neg,neut,neut,neut,neut,neut
kebersihan nya perlu di tingkat kan lg...jangan hanya kamar nya doank di bersihin tp luar nya pun hrs di perhatiin..,neut,neut,neut,neut,neg,neut,neut,neut,neut,neut
air panas susah... sedikit banget .. cuman 5 menit abis langsung.. room ok sih,neut,neg,neut,neut,neut,neut,neut,neut,neut,neut
Gak ada air hangat,neut,neg,neut,neut,neut,neut,neut,neut,neut,neut
"bedsheet kotor penuh noda, tampak seperti tidak pernah dicuci. handuk putih sudah menguning. bantal (selain biru kotak merk airy) tidak disarung. kesan: kotor!",neut,neut,neut,neut,neg,neg,neut,neut,neut,neut
Pelayanannya baik...tapi snack nya koq ngga ada lagi ya...kemudian bantalnya bau apek..itu aja masukannya 😁😉,neut,neut,neut,neut,neut,neg,pos,neut,neut,neut
air hangat. cuma iyu aja yang kurang.,neut,neg,neut,neut,neut,neut,neut,neut,neut,neut
"Menginap di city icon memberikan pengalaman berbeda, saya menginap di kamar 306. Kondisi kamar cukup nyaman namun ada yg harus dibenahi yaitu : 1. Posisi tv. Seharusnya tv ditempatkan di tembok disebelah kamar mandi sehingga posisi untuk menonton dari kasur lurus. 2. Stop kontak perlu untuk ditambah 1 lagi agar charge handphone bisa langsung 2.",neut,neut,neut,neut,neut,neut,neut,neut,neg,neut
"Makanan , bisa di variasikan lagi saja masakannya. Karena terlalu sederhana, dan tidak sesuai dengan harga yang saya bayarkan untuk menginap disana. Terima kasih.",neut,neut,neut,neut,neut,neut,neut,neg,neut,neut
"Kecewa sama pelayanannya, di aplikasi jam chek in jam 2 tpi pas sampe sana jam 2 blm bisa chek in dengan alasan tertentu Masih ada lagi kamarnya yg kotor sprei yg sperti blm dicuci, lantai kamar yg ada ceceran air pas pertama kali masuk trs yg parahnya sama sekali gak ada peralatan mandi sama sekali seperti handuk pasta gigi sabun dll  Harga murah tp mengecewakan",neut,neut,neut,neut,neg,neg,neg,neut,neut,neut
Pertama datang saya dikasih kamar yg buat berdua padahal saya memesan kamar yg untuk berempat dan tdk ada desain nya airyroom di kamar dan tdk dapat snack kalo tidak di komplain pokok nya kecewa menginap disini,neut,neut,neut,neg,neut,neg,neg,neut,neut,neut
wifi suka error,neut,neut,neut,neut,neut,neut,neut,neut,neut,neg
