sentence,fuel,machine,others,part,price,service
Saya memakai Honda Jazz GK5 tahun 2014 ( pertama meluncur ) . Mobil nya bagus dan enak sesuai moto nya menyenangkan untuk dikendarai,neutral,neutral,positive,neutral,neutral,neutral
Avanza kenapa jadi boros bensin begini dah ah. Baru diisi sudah mau setengah saja .,negative,neutral,neutral,neutral,neutral,neutral
"saran ku dan pengalaman ku , mending beli mobil niaga L300 atau canter . irit dan bandel .",positive,positive,neutral,neutral,neutral,neutral
Dari segi harga juga pajero lebih mahal 30 jutaan dibanding fortuner,neutral,neutral,neutral,neutral,positive,neutral
Kalo menurut gw enak pajero si,neutral,neutral,positive,neutral,neutral,neutral
CH - R versi negara ini kurang worth it soal fitur dan kelengkapan,neutral,neutral,neutral,negative,neutral,neutral
"@LinaRadj kapan-kapan coba bengkel daihatsu , mereka mau kok . Servis lebih bagus .",neutral,neutral,neutral,neutral,neutral,positive
Mending confero harga nya lebih murah daripada formo.,neutral,neutral,neutral,neutral,negative,neutral
kalo soal servis mending pilih grand livina soalnya after sales service nya mudah dan cepat,neutral,neutral,neutral,neutral,neutral,positive
Lampu utama depan Grand New Veloz juga mendapatkan perubahan desain dan terkesan lebih agresif dan sedikit menonjol,neutral,neutral,neutral,positive,neutral,neutral
Motor beat aku yang menemani aku di saat ke mana saja dan yang penting bbm - nya ramah lingkungan dan ramah juga di kantong dan tarikan nya mantap banget .,positive,positive,neutral,neutral,neutral,neutral
"Xenia tahun 2008 bolak-balik jakarta - bandung , aki tetap aman .",neutral,neutral,neutral,positive,neutral,neutral
#YamahaID Perawatan Motor Injeksi Yamaha Mudah dan Murah,neutral,neutral,neutral,neutral,neutral,positive
Buat dalam kota xpander bagus karna model nya kalem dan kesan nya car city,neutral,neutral,neutral,positive,neutral,neutral
brio pajak nya murah karena ckd daripada ignis atau sirion yg cbu pajak nya agak mahal trus onderdil nya agak susah atau lama kalo mau klaim asuransi,neutral,neutral,neutral,negative,negative,neutral
toyota menang harga nya kalo nantinya mau dijual,neutral,neutral,neutral,neutral,positive,neutral
All New Toyota Kijang Innova G Diesel 2017 . Mesin bandel nan irit Otolovers .,positive,positive,neutral,neutral,neutral,neutral
"Khusus nya Daihatsu Xenia Sporty Manual , apalagi yang terbaru ini , di samping irit bbm , suara mesin halus . Tarikan lebih baik dari generasi sebelumnya dan akselerasi cukup baik dan variasi tidak terlalu monoton atau ramai .",positive,positive,neutral,positive,neutral,neutral
untuk yang sekarang great new xenia sudah mempunyai fasilitas yang wow dengan harga yang bersahabat bahkan lebih murah daripada rival nya,neutral,neutral,neutral,positive,positive,neutral
"punya mobil altis tidak awet , baru setahun sudah rusak .",neutral,neutral,negative,neutral,neutral,neutral
Xenia ku tipe xi sudah 1.5 tahun dan cukup bangga dengan performa nya,neutral,positive,neutral,neutral,neutral,neutral
"Service rutin ke bengkel daihatsu resmi gak jaminan juga , rem - ku blong waktu jalan ,",neutral,neutral,neutral,neutral,neutral,negative
"Saya pakai karimun , adik saya pakai brio . memang karimun lebih nyaman walau lebih murah dari brio .",neutral,neutral,positive,neutral,positive,neutral
bodi plus tampilan nya Avanza baru mantap juragan,neutral,neutral,neutral,positive,neutral,neutral
