question,passage,seq_label
"['Kelompok', 'apakah', 'yang', 'menyatakan', 'bertanggung', 'jawab', 'atas', 'ledakan', 'di', 'Srinagar', '?']","['Lewat', 'telepon', 'ke', 'kantor', 'berita', 'lokal', 'Current', 'News', 'Service', ',', 'Hezb-ul', 'Mujahedeen', ',', 'kelompok', 'militan', 'Kashmir', 'yang', 'terbesar', ',', 'menyatakan', 'bertanggung', 'jawab', 'atas', 'ledakan', 'di', 'Srinagar', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Di', 'pulau', 'manakah', ',', 'PT', 'Mutiara', 'Indopearl', 'berlokasi', 'sebelum', 'dekade', '2000', '-', 'an']","['Sejak', 'tahun', '1980', '-', 'an', 'di', 'Kota', 'Bau-Bau', 'terdapat', 'dua', 'perusahaan', 'budidaya', 'mutiara', ',', 'yaitu', 'PT', 'Mutiara', 'Indopearl', 'Pulau', 'Makassar', 'dan', 'PT', 'Selat', 'Buton', '.', 'PT', 'Mutiara', 'Indopearl', 'berlokasi', 'di', 'Pulau', 'Makassar', 'dan', 'PT', 'Selat', 'Buton', 'di', 'Palabusa', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Apakah', 'warna', 'pasir', 'pada', 'pesisir', 'pantai', 'Baturumah', 'yang', 'terletak', 'antara', 'pantai', 'Wembrak', 'dan', 'pantai', 'Warmamedi']","['Titik', 'kedua', 'adalah', 'Pantai', 'Baturumah', 'sepanjang', '4', 'km', ',', 'terletak', 'antara', 'pantai', 'Wembrak', 'dan', 'pantai', 'Warmamedi', 'dengan', 'warna', 'pasir', 'putih', 'halus', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'O']"
"['Apa', 'nama', 'perusahaan', 'China', 'yang', 'bekerja', 'sama', 'dengan', 'PT', 'Indelberg', 'Indonesia', 'mengembangkan', 'sejumlah', 'lapangan', 'minyak', 'marjinal', 'di', 'Sumatera', 'Selatan', '?']","['Sichuan', ',', 'Kompas', '-', 'Pemerintah', 'Indonesia', 'dan', 'China', ',', 'Sinopec', 'Southwest', 'Petroleum', 'Biro', 'bersama', 'dengan', 'PT', 'Indelberg', 'Indonesia', ',', 'mengembangkan', 'sejumlah', 'lapangan', 'minyak', 'marjinal', 'di', 'Sumatera', 'Selatan', '.', 'Kerja', 'sama', 'itu', 'juga', 'akan', 'dilakukan', 'untuk', 'lapangan', 'gas', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'I', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Siapa', 'yang', 'akan', 'memindahkan', 'Patung', 'Kartini', 'dalam', 'waktu', 'dekat', 'ini', '?']","['Jakarta', ',', 'Kompas', '-', 'Patung', 'Kartini', 'di', 'Jalan', 'Taman', 'Suropati', ',', 'Jakarta', 'Pusat', ',', 'tidak', 'perlu', 'dipindahkan', 'oleh', 'Pemerintah', 'DKI', 'Jakarta', '.', 'Patung', 'itu', 'sudah', 'tepat', 'di', 'tempatnya', 'dan', 'memindahkannya', 'dapat', 'berarti', 'menghilangkan', 'data', 'sejarah', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Berapa', 'kapasitas', 'PLTS', 'yang', 'sudah', 'dapat', 'digunakan', 'masyarakat', 'Yogyakarta', 'sekarang', '?']","['Untuk', 'PLTS', ',', 'satu', 'unit', 'PLTS', 'terdiri', 'dari', 'modul', 'surya', 'yang', 'berfungsi', 'untuk', 'menangkap', 'energi', 'surya', ',', 'alat', 'pengatur', 'pengisi', 'baterai', 'yang', 'dilengkapi', 'dengan', 'sakelar', ',', 'dan', 'baterai', 'penyimpan', 'energi', '.', 'Tiap', 'PLTS', 'berkekuatan', '200', 'wattjam', 'dan', 'bisa', 'digunakan', 'untuk', 'menghidupkan', 'dua', 'sampai', 'tiga', 'lampu', 'jenis', 'TL', 'dalam', 'satu', 'malam', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Tanggal', 'berapa', 'Presiden', 'Susilo', 'Bambang', 'Yudhoyono', 'memimpin', 'rapat', 'kabinet', 'terbatas', 'dari', 'Missouri', ',', 'Amerika', 'Serikat', '?']","['Jakarta', ',', 'Kompas', '-', 'Presiden', 'Susilo', 'Bambang', 'Yudhoyono', 'memimpin', 'rapat', 'kabinet', 'terbatas', 'melalui', 'videoconference', 'dari', 'Missouri', ',', 'Amerika', 'Serikat', ',', 'Senin', '(', '12/9', ')', '.', 'Rapat', 'kabinet', 'jarak', 'jauh', 'ini', 'akan', 'dilakukan', 'setiap', 'hari', 'selama', 'Presiden', 'berada', 'di', 'AS', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Siapa', 'nama', 'presiden', 'Indonesia', 'sekarang', '?']","['Menteri', 'Sekretaris', 'Negara', 'Yusril', 'Ihza', 'Mahendra', 'menyampaikan', 'hal', 'itu', 'sebagai', 'hasil', 'sidang', 'kabinet', 'terbatas', 'yang', 'dipimpin', 'Presiden', 'Susilo', 'Bambang', 'Yudhoyono', 'melalui', 'fasilitas', 'video', 'teleconference', 'dari', 'New', 'York', ',', 'Amerika', 'Serikat', ',', 'kemarin', 'siang', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Apakah', 'nama', 'kapsul', 'karya', 'Rusia', 'yang', 'dikembangkan', 'menjadi', 'Shenzhou', 'sehingga', 'menjadi', 'kunci', 'utama', 'program', 'angkasa', 'China', '?']","['Shenzhou', 'yang', 'dikembangkan', 'dari', 'kapsul', 'Soyuz', 'karya', 'Rusia', 'memang', 'menjadi', 'kunci', 'utama', 'program', 'angkasa', 'China', '.', 'Dibandingkan', 'Soyuz', ',', 'Shenzhou', 'lebih', 'besar', 'dan', 'memiliki', 'modul', 'orbital', 'yang', 'punya', 'sumber', 'tenaga', 'sendiri', 'sehingga', 'memiliki', 'kemampuan', 'penerbangan', 'otonom', '.']","['O', 'O', 'O', 'O', 'O', 'B', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Apakah', 'istilah', 'untuk', 'hasil', 'pencampuran', 'antara', 'bioetanol', 'dan', 'bensin', '?']","['Biodiesel', 'berpotensi', 'menggantikan', 'solar', 'dan', 'gasohol', 'untuk', 'bensin', ',', 'seharusnya', 'bisa', 'jadi', 'solusi', 'kelangkaan', 'bahan', 'bakar', 'minyak', '(', 'BBM', ')', 'seperti', 'sekarang', '.']","['O', 'O', 'O', 'O', 'O', 'B', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
